,product_name,selling_price,actual_price,average_rating,rating_and_rivew,resolution,refresh_rate,hdmi_usb,speaker,warranty,exchange_offer
0,Yuwa 24 HD 60 cm (24 inch) HD Ready LED TV,"₹5,999","₹10,192",3.5,4 Ratings & 0 Reviews,HD Ready 1366*768 Pixels,60 Hz Refresh Rate,1 x HDMI | 1 x USB,20 WATT Speaker Output,1 Year Manufacturer Warranty,Bank Offer
1,HUIDI 60 cm (24 inch) HD Ready LED TV,"₹5,999","₹10,999",4,"4,837 Ratings & 555 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 1 x USB,10 W Speaker Output,1 Year Warranty,Bank Offer
2,Adsun 60 cm (24 inch) HD Ready LED TV,"₹6,199","₹12,999",3.8,"6,532 Ratings & 897 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,Bank Offer
3,InnoQ Super Bright 62 cm (24 inch) HD Ready LED TV with With Pixel Boost Engine & Thunder Audio Speake...,"₹6,390","₹17,990",4,400 Ratings & 67 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20 W Speaker Output,1 Year Limited Domestic Warranty,Bank Offer
4,Dyanora 60 cm (24 inch) HD Ready LED TV,"₹6,399","₹10,999",4.1,46 Ratings & 5 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Manufacturer Warranty from the Date of Purchase,Bank Offer
5,Bush 60 cm (24 inch) HD Ready LED TV,"₹6,499","₹8,999",4.1,313 Ratings & 35 Reviews,HD Ready 1366 x 768 Pixels,100 Hz Refresh Rate,1 x HDMI | 1 x USB,16 W Speaker Output,1 Year Warranty on Product,Bank Offer
6,KODAK 60 cm (24 inch) HD Ready LED TV,"₹6,990","₹10,499",4,"9,158 Ratings & 1,064 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product & 6 Months on Accessories,"Upto ₹5,100 Off on Exchange"
7,Croma 60.9 cm (24 inch) HD Ready LED TV,"₹6,990","₹15,000",4.2,386 Ratings & 32 Reviews,HD Ready 1366 x 786 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,16 Speaker Output,1 Year Warranty,Bank Offer
8,MarQ By Flipkart 60 cm (24 inch) HD Ready LED TV,"₹6,999","₹14,999",4.2,"6,151 Ratings & 746 Reviews",HD Ready 1366 X 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty on Product,"Upto ₹5,100 Off on Exchange"
9,Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart TV,"₹6,999","₹18,999",3.8,"6,532 Ratings & 897 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,10 W Speaker Output,3 Years Standard Manufacturer Warranty from Adsun,Bank Offer
10,Candes 60 cm (24 inch) HD Ready LED TV 2021 Edition,"₹7,249","₹15,990",4.1,37 Ratings & 3 Reviews,HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 Speaker Output,1 Year Candes Domestic Warranty,Bank Offer
11,LumX 24ZA442 60 cm (24 inch) HD Ready LED TV,"₹7,349","₹16,890",4.1,92 Ratings & 7 Reviews,HD Ready 1366X768P Pixels,60 Hz Refresh Rate,1 x HDMI | 2 x USB,20W Speaker Output,1 Year Warranty,Bank Offer
12,HUIDI 80 cm (32 inch) HD Ready LED TV,"₹7,399","₹16,599",4,"4,837 Ratings & 555 Reviews",HD Ready 1366 x 768 Pixels,60 Hz Refresh Rate,2 x HDMI | 2 x USB,20 W Speaker Output,1 Year Warranty,Bank Offer
